binPid,n_hits,mlAnalyzed,lon,lat,conc_per_ml
D20241024T225407_IFCB127,17,2.182,-70.5667,41.325,7.791017415215399
D20241024T233946_IFCB125,14,4.095,-69.957882,43.792114,3.418803418803419
D20241025T010031_IFCB127,8,2.253,-70.5667,41.325,3.5508211273857078
D20241025T032800_IFCB127,14,2.204,-70.5667,41.325,6.352087114337568
D20241025T071945_IFCB127,22,1.865,-70.5667,41.325,11.796246648793566
D20241025T075823_IFCB125,3,4.358,-69.957882,43.792114,0.6883891693437357
D20241025T100737_IFCB150,2,4.961,-122.907022,47.04571,0.4031445273130417
D20241025T102048_IFCB125,2,4.348,-69.957882,43.792114,0.45998160073597055
D20241025T231213_IFCB125,4,4.318,-69.957882,43.792114,0.9263547938860585
D20241026T022232_IFCB127,4,1.941,-70.5667,41.325,2.0607934054611023
D20241026T044435_IFCB125,2,4.306,-69.957882,43.792114,0.4644681839294008
D20241026T051105_IFCB127,14,2.138,-70.5667,41.325,6.548175865294668
D20241026T070703_IFCB125,1,4.436,-69.957882,43.792114,0.2254283137962128
D20241026T152710_IFCB127,16,1.517,-70.5667,41.325,10.547132498352012
D20241026T233207_IFCB125,7,4.513,-69.957882,43.792114,1.5510746731664082
D20241027T001354_IFCB127,9,1.598,-70.5667,41.325,5.632040050062578
D20241027T065926_IFCB127,13,2.092,-70.5667,41.325,6.21414913957935
D20241027T083807_IFCB125,1,4.573,-69.957882,43.792114,0.21867483052700631
D20241027T173130_IFCB127,18,1.826,-70.5667,41.325,9.857612267250822
D20241028T065917_IFCB125,3,4.616,-69.957882,43.792114,0.6499133448873484
D20241029T051359_IFCB145,1,3.775,-68.2911705,44.4357215,0.26490066225165565
D20241029T070850_IFCB193,11,3.734,-52.9597145,48.90157817,2.945902517407606
D20241029T071903_IFCB125,1,4.653,-69.957882,43.792114,0.21491510853212983
D20241029T073813_IFCB145,1,3.622,-68.291206667,44.435907333,0.27609055770292656
D20241029T080308_IFCB127,21,2.77,-70.5667,41.325,7.581227436823105
D20241029T162109_IFCB193,2,3.369,-53.52037833,50.23718617,0.5936479667557139
D20241029T233559_IFCB193,1,3.705,-53.7657215,51.19655183,0.2699055330634278
D20241030T055415_IFCB127,27,2.613,-70.5667,41.325,10.332950631458095
D20241030T100121_IFCB125,2,4.728,-69.957882,43.792114,0.4230118443316413
D20241030T164456_IFCB125,1,4.717,-69.957882,43.792114,0.211999152003392
D20241030T181953_IFCB125,1,4.568,-69.957882,43.792114,0.21891418563922943
D20241030T183240_IFCB127,13,1.937,-70.5667,41.325,6.7114093959731544
D20241030T212619_IFCB127,14,2.001,-70.5667,41.325,6.9965017491254375
D20241030T235214_IFCB125,1,4.655,-69.957882,43.792114,0.21482277121374865
D20241031T013916_IFCB193,2,3.512,-54.99961467,53.61685917,0.5694760820045558
